process	tag	realtime	%cpu	%mem	rss	peak_rss	peak_vmem	duration	memory
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	rosmap	1.3s	32.1%	0.0%	4.4 MB	4.4 MB	16.7 MB	28.4s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0	801ms	47.8%	0.0%	48.9 MB	54.1 MB	137 MB	27.6s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	GSE71669	1.6s	58.4%	0.0%	48.8 MB	54.1 MB	137 MB	25.2s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0.5	874ms	47.2%	0.0%	48.8 MB	54.1 MB	137 MB	22.8s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0.5	914ms	47.2%	0.0%	48.8 MB	54.1 MB	137 MB	20.5s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-1	1.1s	44.4%	0.0%	48.9 MB	54.2 MB	137 MB	17.9s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0	1s	44.2%	0.0%	48.8 MB	54.1 MB	137 MB	15.7s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-0.5	987ms	45.6%	0.0%	53.9 MB	53.9 MB	136.8 MB	13.4s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-1	962ms	45.7%	0.0%	48.8 MB	54.1 MB	137 MB	11s	2 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-1	984ms	44.7%	0.0%	48.8 MB	54.1 MB	137 MB	8.6s	2 GB
