method_name,dataset,fold,accuracy,balanced_accuracy,precision,average_precision_score,recall,f1_score,auc,log_loss,phi_coefficient
cooperative_learning,GSE71669,fold_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
cooperative_learning,GSE71669,fold_2,0.571,0.583,0.5,0.476,0.667,0.571,0.583,15.447,0.167
cooperative_learning,GSE71669,fold_3,0.429,0.375,0.0,0.429,0.0,0.0,0.5,20.596,-0.354
cooperative_learning,GSE71669,fold_4,0.5,0.5,0.333,0.333,0.5,0.4,0.625,18.022,0.0
cooperative_learning,GSE71669,fold_5,0.5,0.5,0.0,0.5,0.0,0.0,1.0,18.022,0.0
cooperative_learning,rosmap,fold_1,0.746,0.744,0.732,0.692,0.811,0.769,0.846,9.138,0.493
cooperative_learning,rosmap,fold_2,0.7,0.7,0.714,0.653,0.694,0.704,0.748,10.813,0.4
cooperative_learning,rosmap,fold_3,0.729,0.726,0.707,0.67,0.806,0.753,0.783,9.783,0.459
cooperative_learning,rosmap,fold_4,0.629,0.626,0.619,0.59,0.722,0.667,0.808,13.388,0.257
cooperative_learning,rosmap,fold_5,0.743,0.739,0.732,0.693,0.811,0.769,0.824,9.268,0.484
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_1,0.4,0.4,0.333,0.467,0.2,0.25,0.475,21.626,-0.218
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_2,0.65,0.65,0.667,0.6,0.6,0.632,0.73,12.615,0.302
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_3,0.4,0.4,0.417,0.458,0.5,0.455,0.44,21.626,-0.204
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_4,0.45,0.45,0.462,0.477,0.6,0.522,0.45,19.824,-0.105
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_5,0.75,0.75,0.778,0.694,0.7,0.737,0.84,9.011,0.503
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_1,0.7,0.7,0.75,0.65,0.6,0.667,0.69,10.813,0.408
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_2,0.7,0.7,0.75,0.65,0.6,0.667,0.75,10.813,0.408
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_3,0.6,0.6,0.556,0.556,1.0,0.714,0.68,14.417,0.333
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_4,0.55,0.55,0.533,0.527,0.8,0.64,0.65,16.22,0.115
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_5,0.7,0.7,0.667,0.633,0.8,0.727,0.8,10.813,0.408
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_1,0.3,0.3,0.25,0.45,0.2,0.222,0.39,25.231,-0.408
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_2,0.5,0.5,0.5,0.5,0.5,0.5,0.62,18.022,0.0
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_3,0.7,0.7,0.7,0.64,0.7,0.7,0.72,10.813,0.4
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_4,0.55,0.55,0.571,0.529,0.4,0.471,0.6,16.22,0.105
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_5,0.45,0.45,0.455,0.477,0.5,0.476,0.42,19.824,-0.101
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0,fold_1,0.35,0.35,0.2,0.47,0.1,0.133,0.37,23.428,-0.346
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0,fold_2,0.65,0.65,0.667,0.6,0.6,0.632,0.64,12.615,0.302
cooperative_learning,sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-0,fold_3,0.6,0.6,0.583,0.558,0.7,0.636,0.65,14.417,0.204
